Campaign ID,Campaign Name,Emails Sent,Open Rate (%),Click-Through Rate (%),Conversion Rate (%),Unsubscribe Rate (%),Revenue Generated ($)
EM-0698,Flash Sale,311899.00,35.22,3.91,5.82,1.48,55609.09
EM-0699,Flash Sale,247114.00,23.19,12.09,3.87,4.95,37856.60
EM-0700,Flash Sale,195660.00,25.64,12.42,5.50,3.88,71998.80
EM-0701,Customer Appreciation,53375.00,7.11,10.53,1.59,1.68,36988.95
EM-0702,Exclusive Offers,278829.00,37.35,3.67,1.29,1.55,30792.74
EM-0703,New Product Launch,406280.00,39.26,13.23,8.27,0.90,84884.93
EM-0704,Flash Sale,115634.00,5.05,1.76,9.10,1.86,86493.33
EM-0705,Newsletter,353093.00,35.94,3.62,8.42,3.70,79828.88
EM-0706,Customer Appreciation,259183.00,10.16,11.61,7.52,1.38,72592.90
EM-0707,Holiday Discounts,132029.00,46.94,18.48,2.36,3.23,63473.41
EM-0708,New Product Launch,268039.00,7.84,9.52,2.88,2.00,25784.64
EM-0709,Exclusive Offers,399794.00,48.85,13.45,1.21,5.00,82379.30
EM-0710,New Product Launch,117560.00,40.65,14.02,1.23,4.95,31083.59
EM-0711,Exclusive Offers,21937.00,40.04,4.29,5.07,1.88,58222.91
EM-0712,Newsletter,144419.00,33.29,7.79,4.84,3.35,40522.56
EM-0713,Exclusive Offers,466790.00,20.30,19.56,6.58,3.92,15141.73
EM-0714,Newsletter,244270.00,21.40,17.35,0.65,1.91,69106.21
EM-0715,Newsletter,100415.00,13.63,11.68,1.44,4.14,54513.84
EM-0716,Holiday Discounts,339751.00,33.34,8.10,4.41,1.14,89354.62
EM-0717,Exclusive Offers,494351.00,26.58,3.85,6.41,0.22,21631.36
EM-0718,Customer Appreciation,251276.00,13.79,8.95,8.27,3.11,86022.80
EM-0719,Exclusive Offers,297256.00,37.50,17.02,6.39,3.92,77457.92
EM-0720,Customer Appreciation,26271.00,18.36,12.13,5.37,1.02,9916.38
EM-0721,New Product Launch,331240.00,29.76,19.01,8.52,4.18,94338.42
EM-0722,Newsletter,455508.00,23.00,12.12,3.35,0.93,85875.94
EM-0723,Customer Appreciation,251571.00,26.64,9.52,5.82,4.46,75051.01
EM-0724,Newsletter,244937.00,12.28,16.98,9.97,1.32,56064.45
EM-0725,New Product Launch,40353.00,15.26,5.88,5.35,3.44,69203.35
EM-0726,New Product Launch,96342.00,47.55,8.33,2.74,1.25,29271.15
EM-0727,Customer Appreciation,176330.00,6.40,1.81,4.99,1.03,76565.42
EM-0728,Exclusive Offers,463104.00,8.52,3.90,6.87,3.13,1282.65
EM-0729,Holiday Discounts,482493.00,25.89,1.46,9.92,2.63,6111.99
EM-0730,Holiday Discounts,288475.00,7.70,9.62,2.31,0.18,6284.31
EM-0731,Newsletter,18607.00,16.33,10.96,5.15,3.80,17152.06
EM-0732,Customer Appreciation,447254.00,16.17,9.32,8.48,4.46,65147.57
EM-0733,New Product Launch,350648.00,28.64,7.96,9.21,0.43,32178.26
EM-0734,Holiday Discounts,80686.00,8.56,5.89,3.10,2.41,18671.30
EM-0735,Holiday Discounts,231787.00,15.82,16.67,9.45,4.15,74457.66
EM-0736,Customer Appreciation,78860.00,23.77,10.48,7.72,1.81,5408.30
EM-0737,Holiday Discounts,32498.00,19.86,1.14,5.21,3.89,96027.85
EM-0738,Holiday Discounts,493415.00,11.34,5.18,6.13,0.50,56099.30
EM-0739,Customer Appreciation,64346.00,33.39,19.20,5.52,4.06,36364.85
EM-0740,Customer Appreciation,355450.00,6.45,14.63,0.90,4.59,3382.70
EM-0741,Holiday Discounts,253901.00,45.61,6.92,4.12,2.19,33799.50
EM-0742,Holiday Discounts,477826.00,28.34,15.57,1.22,1.98,13512.47
EM-0743,Holiday Discounts,358607.00,34.54,5.43,1.98,0.98,73347.40
EM-0744,Customer Appreciation,310975.00,15.49,4.28,1.19,4.75,32876.04
EM-0745,Flash Sale,163368.00,13.47,16.94,1.56,0.82,9709.91
EM-0746,Holiday Discounts,448231.00,40.81,15.76,4.50,3.30,73033.35
EM-0747,Holiday Discounts,253640.00,28.87,6.90,9.93,4.74,70244.52
EM-0748,Flash Sale,373391.00,43.06,9.75,1.36,0.65,86808.25
EM-0749,Holiday Discounts,399511.00,21.99,11.86,3.49,1.95,12438.71
EM-0750,New Product Launch,472161.00,44.03,17.67,6.40,2.91,16104.95
EM-0751,New Product Launch,411683.00,26.48,11.06,8.35,4.91,98783.07
EM-0752,Customer Appreciation,51574.00,21.60,19.50,7.02,2.48,93979.66
EM-0753,Newsletter,167721.00,35.86,2.12,3.78,4.56,66776.65
EM-0754,Holiday Discounts,252602.00,31.33,9.65,6.06,1.12,6466.11
EM-0755,Customer Appreciation,440430.00,10.69,16.29,0.93,4.24,4390.44
EM-0756,Flash Sale,55042.00,39.13,11.53,4.99,2.63,95369.07
EM-0757,New Product Launch,133950.00,46.31,12.93,5.68,3.56,66450.30
EM-0758,Exclusive Offers,118345.00,45.79,16.41,9.49,2.49,33343.88
EM-0759,New Product Launch,282339.00,43.59,17.81,7.02,1.63,69221.12
EM-0760,Flash Sale,237097.00,48.65,13.75,1.81,4.32,5444.61
EM-0761,Newsletter,344931.00,23.65,3.92,1.22,2.10,87675.32
EM-0762,Customer Appreciation,427675.00,17.33,2.80,1.98,3.16,49986.52
EM-0763,Holiday Discounts,380374.00,32.89,19.71,0.74,1.72,28974.96
EM-0764,Newsletter,139791.00,5.21,2.34,7.54,2.42,82380.78
EM-0765,Exclusive Offers,162827.00,19.68,2.77,1.13,0.45,65614.40
EM-0766,Holiday Discounts,1756.00,13.33,9.39,0.82,4.82,99124.31
EM-0767,Customer Appreciation,233415.00,43.53,2.53,0.67,0.47,81175.89
EM-0768,New Product Launch,373810.00,49.01,2.54,6.77,4.92,52130.65
EM-0769,New Product Launch,398600.00,42.50,9.14,8.84,3.09,42456.97
EM-0770,Customer Appreciation,443985.00,20.40,13.63,3.25,0.83,63493.98
EM-0771,Customer Appreciation,356466.00,19.53,17.95,5.26,0.10,62920.24
EM-0772,Flash Sale,184432.00,10.25,17.32,6.19,3.56,69960.34
EM-0773,Newsletter,491754.00,31.73,19.33,7.16,1.64,18455.17
EM-0774,New Product Launch,205115.00,46.31,4.22,5.99,3.51,81465.52
EM-0775,Exclusive Offers,57601.00,9.25,1.06,9.55,3.11,88262.40
EM-0776,Exclusive Offers,438182.00,28.56,5.24,3.14,2.24,17374.09
EM-0777,Customer Appreciation,316231.00,14.98,2.70,8.65,0.24,51808.83
EM-0778,Exclusive Offers,340984.00,5.43,12.75,5.41,3.99,18700.71
EM-0779,Customer Appreciation,438264.00,15.61,1.52,8.40,3.48,23500.99
EM-0780,Holiday Discounts,46861.00,38.86,2.48,4.69,0.77,42805.09
EM-0781,New Product Launch,496609.00,29.00,10.87,8.43,4.71,68585.68
EM-0782,Newsletter,155440.00,41.27,10.70,7.30,1.36,4333.32
EM-0783,Flash Sale,84658.00,9.57,16.56,7.26,3.40,61662.96
EM-0784,Customer Appreciation,313310.00,5.48,17.31,2.60,0.40,46263.18
EM-0785,Newsletter,293451.00,37.53,4.27,6.47,4.29,13621.75
EM-0786,New Product Launch,70636.00,5.26,14.56,3.90,2.11,95105.03
EM-0787,New Product Launch,126123.00,27.50,19.02,3.16,0.14,99150.13
EM-0788,Holiday Discounts,102611.00,26.82,8.07,6.31,1.53,25348.70
EM-0789,New Product Launch,89540.00,40.66,7.80,3.63,2.48,99319.61
EM-0790,Newsletter,161857.00,9.24,13.06,9.40,4.89,14840.51
EM-0791,New Product Launch,308351.00,24.92,5.48,1.00,2.04,10405.60
EM-0792,Flash Sale,180399.00,20.03,10.56,9.46,0.44,95832.79
EM-0793,Holiday Discounts,24556.00,13.00,11.99,9.58,3.39,89861.05
EM-0794,Flash Sale,185819.00,7.12,11.02,1.90,4.51,37319.12
EM-0795,New Product Launch,485607.00,7.49,10.20,3.29,1.78,79615.76
EM-0796,Holiday Discounts,462098.00,40.47,17.90,9.32,3.25,2815.24
EM-0797,Holiday Discounts,444552.00,33.80,4.22,0.55,0.47,59508.95
EM-0798,Holiday Discounts,183620.00,27.07,12.24,9.79,4.67,49216.93
EM-0799,Exclusive Offers,63888.00,17.66,8.23,6.56,0.79,54869.57
EM-0800,Customer Appreciation,455973.00,16.15,12.98,3.21,4.41,24891.06
